nom,ordre,0_start_time,0_end_time,stimu1,1_start_time,1_end_time,1_liking,stimu2,2_start_time,2_end_time,2_liking,stimu3,3_start_time,3_end_time,3_liking,stimu4,4_start_time,4_end_time,4_liking,stimu5,5_start_time,5_end_time,5_liking,stimu6,6_start_time,6_end_time,6_liking,stimu7,7_start_time,7_end_time,7_liking,stimu8,8_start_time,8_end_time,8_liking,stimu9,9_start_time,9_end_time,9_liking,stimu10,10_start_time,10_end_time,10_liking,stimu11,11_start_time,11_end_time,11_liking,stimu12,12_start_time,12_end_time,12_liking,stimu13,13_start_time,13_end_time,13_liking,stimu14,14_start_time,14_end_time,14_liking,stimu15,15_start_time,15_end_time,15_liking,stimu16,16_start_time,16_end_time,16_liking
lucien,1,5.8,55.8,779,5.44,40.77,aime,546,6,43.3,aime,254,8,50.83,aime_pas,663,5.3,50.06,aime,963,5.47,50.06,aime,761,5.45,47.03,aime_pas,967,5.45,47.03,aime,452,6.14,45.04,aime_pas,795,6.5,52,aime_pas,712,5.7,47.03,aime,112,5.58,45.62,aime,896,4.89,38.89,aime_pas,475,7.1,45.05,aime_pas,811,5.8,"39,8",aime,823,6,41.21,aime_pas,814,5.44,39.2,aime
romane,2,5,55,963,5.38,32.13,aime_pas,546,5.56,34.9,aime,823,5.27,36.34,aime,779,5.19,33.81,aime_pas,663,5.5,33.45,aime,761,6.09,37.43,aime_pas,254,5.38,38.92,aime_pas,967,5.1,37.85,aime_pas,896,5.39,34.48,aime,712,5.07,37.26,aime,795,5.53,36.42,aime_pas,475,5.56,42.38,aime,811,5.19,38.75,aime_pas,452,5.13,38.29,aime_pas,112,5.12,37.45,aime_pas,814,5.64,34.49,aime_pas
hector,3,5,55,967,5.32,39.45,aime_pas,663,5.54,57.26,aime,823,5.3,60,aime,779,5.41,48.97,aime_pas,795,5.37,52.67,aime,811,5.23,35.27,aime_pas,814,5.37,46.84,aime_pas,963,5.9,60,aime_pas,475,5.46,47.11,aime,452,5.47,55.04,aime_pas,761,5.17,43.1,aime_pas,112,5.17,39.36,aime_pas,896,5.15,39.42,aime_pas,546,5.37,53.19,aime_pas,254,5.49,39.77,aime_pas,712,5.36,60,aime
thomas,4,6,56,452,5.29,25.12,aime_pas,896,5.35,26.97,aime_pas,712,5.25,34.07,aime_pas,811,5.42,33.45,aime,823,5.23,35.45,aime,663,5.44,36.1,aime,963,5.19,38.04,aime_pas,795,5.47,33.22,aime_pas,814,5.82,38.22,aime_pas,112,5.29,33.86,aime_pas,761,5.42,34.95,aime_pas,475,5.4,35.5,aime,254,5.07,36.07,aime_pas,546,5.31,35.18,aime_pas,779,5.5,33.77,aime_pas,967,5.51,32.86,aime
juliette,5,7.23,57.23,254,5.15,40.93,aime,811,5.88,34.95,aime,823,5.37,28.41,aime,967,5.4,28.41,aime,795,4.86,25.98,aime,663,5.3,25.32,aime,475,4.77,24.3,aime,452,5.4,27.12,aime_pas,963,6.36,28.07,aime_pas,761,6.06,24.98,aime_pas,896,4.67,21.45,aime_pas,546,4.89,25.32,aime,814,5.4,25.88,aime_pas,712,4.35,23.45,aime_pas,112,4.52,26.37,aime,779,5.03,26.44,aime
zoe,6,6.52,56.52,712,5.24,28.51,aime,823,5.18,30.19,aime,254,5.51,32.81,aime_pas,896,5.15,25.73,aime,475,5.63,34.89,aime_pas,811,5.39,35.93,aime_pas,546,4.9,35.83,aime,761,5.46,31.6,aime_pas,967,4.96,35,aime,814,5.7,29.98,aime_pas,112,5.03,33.43,aime,452,4.9,33.43,aime_pas,963,5.27,27.77,aime_pas,663,7.88,30.48,aime,779,4.91,32.76,aime,795,4.62,26.81,aime_pas
baptiste,7,5.34,55.34,795,5.45,35.35,aime_pas,475,5.22,34.09,aime,811,5.19,38.04,aime,814,5.33,41.59,aime_pas,779,5.4,41.85,aime_pas,761,5.46,44.18,aime,663,5.04,40.92,aime,967,5.26,40.98,aime,112,5.43,48.95,aime,546,5.39,37.23,aime,963,5.39,49.64,aime,712,5.36,60,aime,254,5.18,44.64,aime_pas,452,5.46,32.11,aime_pas,896,6.9,32.43,aime,823,5.35,41.12,aime
oceane,8,5.6,55.6,963,4.97,60,aime_pas,814,5.3,43.12,aime_pas,967,5.39,50.79,aime,475,5.04,47.36,aime,712,5.35,60,aime,112,5.63,44.54,aime_pas,823,5.16,50.25,aime,761,5.01,37.06,aime,896,5.44,29.89,aime_pas,254,5.31,48.8,aime_pas,811,5.39,45.83,aime,546,5.32,39.51,aime,795,5.2,31.92,aime,663,5.41,43.14,aime,452,5.5,48.62,aime,779,5.14,33.48,aime
juliette,9,4.62,54.62,779,5.17,20.2,aime,546,4.92,23.51,aime,896,4.95,28.84,aime_pas,712,4.63,36,aime,663,5.5,31.88,aime_pas,452,4.93,50.06,aime,761,4.75,33.31,aime,475,4.35,40.66,aime,823,3.86,31.14,aime,814,3.92,39.99,aime_pas,795,4.07,27.91,aime_pas,967,5,60,aime_pas,254,4.07,40.4,aime_pas,963,4.87,33.78,aime_pas,112,5.68,30.68,aime,811,3.9,37.47,aime
isaure,10,4.75,54.75,896,5.27,33.88,aime_pas,814,4.8,33.38,aime,254,5.4,32.58,aime_pas,452,4.43,29.98,aime_pas,963,3.87,32.49,aime,795,4.61,26.36,aime_pas,663,3.99,28.33,aime_pas,761,4.11,32.29,aime_pas,475,4.5,28.97,aime,779,4.71,32.83,aime,967,4.07,31.97,aime,546,4.74,38.32,aime,811,4,34.94,aime_pas,823,4.3,31.85,aime,712,4.61,33.65,aime,112,4.85,36.82,aime_pas
justine,11,5.04,55.04,112,4.96,29.36,aime_pas,254,4.98,27.12,aime,896,5.39,25.05,aime_pas,475,4.97,25.55,aime_pas,712,5.22,29.2,aime,967,5.45,29,aime,546,5.38,28.67,aime_pas,663,5,29.2,aime,761,5.57,29.39,aime_pas,823,5.11,26.12,aime,452,5.41,26.33,aime_pas,814,5.32,25.46,aime_pas,795,5.37,25.16,aime_pas,811,5.57,28.92,aime,779,5.7,26.45,aime,963,5.12,26.63,aime_pas
annevictoire,12,4.8,54.8,761,4.39,52.69,aime_pas,963,4.52,54.53,aime_pas,967,3.7,56.17,aime,823,3.85,56.9,aime,814,4.1,47.06,aime_pas,475,4,50.4,aime,254,3.78,60,aime_pas,795,3.92,35.42,aime_pas,896,4.08,48.06,aime_pas,546,3.55,46.3,aime,712,4.31,44.41,aime,112,4.28,51.8,aime_pas,811,3.81,51.92,aime,663,4.27,47.7,aime_pas,452,4.32,55.67,aime_pas,779,3.92,49.84,aime
oriane,13,5.21,55.21,475,5.44,32.33,aime,761,5.19,44.05,aime_pas,811,5.19,49.34,aime_pas,963,5.08,57.34,aime_pas,823,5.19,60,aime_pas,896,5.42,31.97,aime_pas,452,5.06,53.68,aime_pas,814,5.12,35.42,aime_pas,663,5.3,44.57,aime,967,5.26,46.07,aime_pas,779,5.27,46.3,aime_pas,712,5.25,54.65,aime_pas,795,5.23,45.91,aime,546,5.4,54.15,aime_pas,112,4.98,52.77,aime_pas,254,5.41,43.31,aime_pas
maxime,14,4.8,54.8,475,4.61,36.79,aime,967,4.73,60,aime_pas,112,5.26,60,aime_pas,814,3.91,49,aime_pas,823,4.33,55.5,aime,963,4.41,54.7,aime_pas,779,3.85,59.45,aime_pas,896,4.54,46.91,aime_pas,254,4.2,57.72,aime_pas,452,4.4,55.55,aime_pas,546,4.64,60,aime,761,4.51,51.78,aime_pas,795,4.6,60,aime,712,5.08,57.02,aime,663,5.55,59.65,aime,811,5.38,58.03,aime
pauline,15,5.2,55.2,811,5.1,60,aime,712,5.09,46.54,aime_pas,112,5.63,43.85,aime_pas,795,4.88,41.27,aime_pas,896,5.24,52.23,aime_pas,967,5.51,60,aime_pas,475,5.35,60,aime,823,5.63,60,aime,963,5.47,47.7,aime,254,5.24,57.59,aime_pas,546,5.4,47.74,aime,814,5.68,59.21,aime_pas,779,5.47,42.34,aime,452,5.37,50,aime,761,5.15,37.74,aime_pas,663,5.71,42.94,aime
nelly,16,4.4,54.4,963,7.1,24.91,aime_pas,546,4.78,24.99,aime,254,5.66,28.38,aime,896,5.04,26.16,aime_pas,663,6.77,31.89,aime,452,5.47,28.33,aime_pas,112,6.26,28.43,aime,823,5.77,29.59,aime,967,5.11,29.8,aime,811,4.69,29.95,aime_pas,814,5.6,32.65,aime,761,4.7,33.95,aime,712,4.36,37.1,aime,795,5.7,35.97,aime_pas,779,5.49,38.62,aime,475,4.23,43.51,aime
laura,17,5.15,55.15,967,5.42,43.57,aime,254,5.6,47.05,aime,546,3.92,59.25,aime,761,4.36,53.46,aime,823,5.25,55.76,aime,814,4.39,60,aime_pas,779,4.15,60,aime,663,4.58,50.21,aime,452,3.79,46.94,aime_pas,896,5.37,41.88,aime_pas,811,4.61,50.21,aime,112,4.74,52.51,aime,963,4.09,51.98,aime_pas,475,4.82,44.52,aime_pas,795,4.54,44.61,aime_pas,712,3.9,57.82,aime
damien,18,4.35,54.35,112,4.65,45.44,aime,795,4.35,27.51,aime_pas,761,4.31,32.94,aime,254,5.38,39.04,aime_pas,811,4.25,34.62,aime_pas,896,3.76,31.85,aime_pas,967,3.77,46.35,aime_pas,814,3.53,36.05,aime_pas,452,3.69,39.69,aime_pas,546,4.13,42.18,aime_pas,823,5.41,45.7,aime_pas,779,3.83,38.71,aime,712,3.83,36.2,aime_pas,663,4.16,38.98,aime,475,4.33,35.25,aime_pas,963,4.22,52.39,aime
emma,19,4.85,54.85,761,4.37,25.16,aime,712,4.7,24.01,aime,475,4.07,23.42,aime_pas,663,4.69,22.55,aime,254,4.56,20.7,aime_pas,823,5.38,22.42,aime,896,4.31,21.75,aime_pas,963,3.99,19.51,aime_pas,546,4.02,19.45,aime,814,3.96,20.16,aime_pas,967,8.61,22.44,aime,779,4.15,21,aime_pas,811,4.93,21.58,aime_pas,112,4.19,20.76,aime,795,4.1,17.35,aime_pas,452,4.38,20.62,aime_pas
