id;stimu;exploitability
1-lucien;779;no
1-lucien;896;complex
1-lucien;663;no
1-lucien;795;no
1-lucien;811;parfait
1-lucien;254;complex
1-lucien;963;no
1-lucien;112;yes
1-lucien;967;yes
1-lucien;546;complex
1-lucien;712;no
1-lucien;823;no
1-lucien;814;maybe
1-lucien;475;maybe
1-lucien;761;complex
1-lucien;452;complex
2-romane;963;maybe
2-romane;967;yes
2-romane;112;no
2-romane;811;yes
2-romane;823;yes
2-romane;761;no
2-romane;795;complex
2-romane;254;yes
2-romane;663;maybe
2-romane;475;yes
2-romane;452;yes
2-romane;814;no
2-romane;779;maybe
2-romane;712;no
2-romane;546;yes
2-romane;896;maybe
3-hector;967;no
3-hector;896;no
3-hector;761;no
3-hector;452;no
3-hector;254;maybe
3-hector;823;complex
3-hector;712;no
3-hector;112;complex
3-hector;795;no
3-hector;811;yes
3-hector;814;no
3-hector;963;complex
3-hector;779;no
3-hector;546;maybe
3-hector;475;no
3-hector;663;no
4-thomas;452;maybe
4-thomas;761;maybe
4-thomas;546;complex
4-thomas;896;complex
4-thomas;254;maybe
4-thomas;779;maybe
4-thomas;963;no
4-thomas;811;parfait
4-thomas;475;parfait
4-thomas;814;no
4-thomas;823;maybe
4-thomas;112;no
4-thomas;663;yes
4-thomas;712;yes
4-thomas;795;maybe
4-thomas;967;no
5-juliette;254;complex
5-juliette;779;yes
5-juliette;811;maybe
5-juliette;963;parfait
5-juliette;452;yes
5-juliette;814;yes
5-juliette;475;yes
5-juliette;112;yes
5-juliette;896;yes
5-juliette;663;no
5-juliette;823;yes
5-juliette;712;no
5-juliette;967;yes
5-juliette;546;parfait
5-juliette;761;complex
5-juliette;795;yes
6-zoe;712;yes
6-zoe;452;yes
6-zoe;896;yes
6-zoe;963;complex
6-zoe;811;parfait
6-zoe;761;no
6-zoe;779;parfait
6-zoe;823;complex
6-zoe;967;parfait
6-zoe;795;maybe
6-zoe;546;parfait
6-zoe;112;parfait
6-zoe;254;no
6-zoe;475;maybe
6-zoe;663;no
6-zoe;814;no
7-baptiste;795;no
7-baptiste;546;no
7-baptiste;452;maybe
7-baptiste;896;no
7-baptiste;811;no
7-baptiste;963;no
7-baptiste;967;maybe
7-baptiste;254;maybe
7-baptiste;663;no
7-baptiste;761;complex
7-baptiste;475;yes
7-baptiste;814;no
7-baptiste;779;maybe
7-baptiste;823;yes
7-baptiste;712;no
7-baptiste;112;yes
8-oceane;963;parfait
8-oceane;823;yes
8-oceane;811;yes
8-oceane;779;maybe
8-oceane;712;yes
8-oceane;795;no
8-oceane;452;yes
8-oceane;112;yes
8-oceane;896;maybe
8-oceane;663;complex
8-oceane;546;maybe
8-oceane;967;maybe
8-oceane;761;yes
8-oceane;254;complex
8-oceane;814;no
8-oceane;475;maybe
9-juliette;779;no
9-juliette;811;complex
9-juliette;963;no
9-juliette;761;maybe
9-juliette;823;maybe
9-juliette;896;maybe
9-juliette;452;maybe
9-juliette;663;no
9-juliette;475;yes
9-juliette;546;yes
9-juliette;967;yes
9-juliette;795;maybe
9-juliette;814;yes
9-juliette;712;maybe
9-juliette;112;maybe
9-juliette;254;yes
10-isaure;896;no
10-isaure;452;yes
10-isaure;963;complex
10-isaure;779;parfait
10-isaure;811;complex
10-isaure;761;complex
10-isaure;112;no
10-isaure;475;yes
10-isaure;967;parfait
10-isaure;663;maybe
10-isaure;823;complex
10-isaure;254;complex
10-isaure;712;no
10-isaure;814;maybe
10-isaure;795;parfait
10-isaure;546;yes
11-justine;112;no
11-justine;254;parfait
11-justine;896;yes
11-justine;814;maybe
11-justine;712;yes
